pin,s1,s1i,s1e,s1t,s1s,s2,s2i,s2e,s2t,s2s,s3,s3i,s3e,s3t,s3s,s4,s4i,s4e,s4t,s4s,s5,s5i,s5e,s5t,s5s,s6,s6i,s6e,s6t,s6s,s7,s7i,s7e,s7t,s7s,s8,s8i,s8e,s8t,s8s,s9,s9i,s9e,s9t,s9s,s10,s10i,s10e,s10t,s10s,s11,s11i,s11e,s11t,s11s,s12,s12i,s12e,s12t,s12s
21014-CM-013,100,99,98,89,p,87,97,99,95,p,83,90,102,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-014,100,99,98,89,p,87,97,99,95,p,83,90,103,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-015,100,99,98,89,p,87,97,99,95,p,83,90,104,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-016,100,99,98,89,p,87,97,99,95,p,83,90,105,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-017,100,99,98,89,p,87,97,99,95,p,83,90,106,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-018,100,99,98,89,p,87,97,99,95,p,83,90,107,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-019,100,99,98,89,p,87,97,99,95,p,83,90,108,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-020,100,99,98,89,p,87,97,99,95,p,83,90,109,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-021,100,99,98,89,p,87,97,99,95,p,83,90,110,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-022,100,99,98,89,p,87,97,99,95,p,83,90,111,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-023,100,99,98,89,p,87,97,99,95,p,83,90,112,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-024,100,99,98,89,p,87,97,99,95,p,83,90,113,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-025,100,99,98,89,p,87,97,99,95,p,83,90,114,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-026,100,99,98,89,p,87,97,99,95,p,83,90,115,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-027,100,99,98,89,p,87,97,99,95,p,83,90,116,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-028,100,99,98,89,p,87,97,99,95,p,83,90,117,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-029,100,99,98,89,p,87,97,99,95,p,83,90,118,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-030,100,99,98,89,p,87,97,99,95,p,83,90,119,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-031,100,99,98,89,p,87,97,99,95,p,83,90,120,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-032,100,99,98,89,p,87,97,99,95,p,83,90,121,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-033,100,99,98,89,p,87,97,99,95,p,83,90,122,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-034,100,99,98,89,p,87,97,99,95,p,83,90,123,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-035,100,99,98,89,p,87,97,99,95,p,83,90,124,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-036,100,99,98,89,p,87,97,99,95,p,83,90,125,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-037,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-038,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-039,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-040,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-041,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-042,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-043,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-044,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-045,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-046,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-047,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-048,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-049,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-050,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-051,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-052,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-053,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-054,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-055,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-056,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-057,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-058,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-059,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-060,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-061,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-062,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-063,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-064,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-065,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
21014-CM-066,100,99,98,89,p,87,97,99,95,p,83,90,90,80,f,35,36,37,38,f,40,41,42,43,p,45,46,47,48,p,50,51,52,53,p,55,56,57,58,f,60,61,62,63,p,65,66,67,68,p,70,71,72,73,p,75,76,77,78,p
